T_Außen;Q_Solar;Q_intern;Q_Transmission;Q_Lüftung;Q_Heizen/Kühlen;Raumtemperatur;Raumtemperatur;Te_gl.Mittel;Q_el_need;Q_el_prod;Q_storage;Q_selfuse;Q_feed-in;Q_from-grid;CO2-Konzentration;Raumfeuchte;Nutzung;Monat;Tag im Monat;Stunde am Tag;Tag im Jahr;Stunde im Jahr;I_glob
20;-1,98;0,46;1,68;0,21;0;18,82;18,82;18,71;0,03;0;0;0;0;0,03;399,98;59,23;1;1;3;19;3;67;0
20;-1,98;0,46;1,67;0,21;0;18,82;18,82;18,71;0;0;0;0;0;0;399,98;59,21;1;1;3;20;3;68;0
20;-1,98;0,46;1,66;0,21;0;18,83;18,83;18,71;0;0;0;0;0;0;399,98;59,18;1;1;3;21;3;69;0
20;-1,98;0,46;1,65;0,21;0;18,84;18,84;18,71;0;0;0;0;0;0;399,98;59,16;1;1;3;22;3;70;0
20;-1,98;0,46;1,64;0,21;0;18,84;18,84;18,71;0;0;0;0;0;0;399,98;59,14;1;1;3;23;3;71;0
20;-1,98;0,46;1,64;0,21;0;18,85;18,85;18,71;0;0;0;0;0;0;399,98;59,12;1;1;3;24;3;72;0
20;-1,98;0,46;1,63;0,21;0;18,85;18,85;19,1;0;0;0;0;0;0;399,98;59,1;1;1;4;1;4;73;0
20;-1,98;0,46;1,62;0,21;0;18,86;18,86;19,1;0;0;0;0;0;0;399,98;59,08;1;1;4;2;4;74;0
20;-1,98;0,46;1,61;0,21;0;18,86;18,86;19,1;0;0;0;0;0;0;399,98;59,06;1;1;4;3;4;75;0
20;-1,98;0,46;1,6;0,21;0;18,87;18,87;19,1;0;0;0;0;0;0;399,98;59,04;1;1;4;4;4;76;0
20;-1,98;0,46;1,6;0,2;0;18,88;18,88;19,1;0;0;0;0;0;0;399,98;59,02;1;1;4;5;4;77;0
20;-1,98;0,46;1,59;0,2;0;18,88;18,88;19,1;0,03;0;0;0;0;0,03;399,98;59,01;1;1;4;6;4;78;0
20;-1,98;0,46;1,58;0,2;0;18,89;18,89;19,1;0,03;0;0;0;0;0,03;399,98;58,99;1;1;4;7;4;79;0
20;-1,98;0,46;1,57;0,2;0;18,89;18,89;19,1;0,03;0;0;0;0;0,03;399,98;58,97;1;1;4;8;4;80;0
20;-1,98;0,46;1,57;0,2;0;18,9;18,9;19,1;0;0;0;0;0;0;399,98;58,96;1;1;4;9;4;81;0
20;-1,98;0,46;1,56;0,2;0;18,9;18,9;19,1;0;0;0;0;0;0;399,98;58,94;1;1;4;10;4;82;0
20;-1,98;0,46;1,56;0,2;0;18,9;18,9;19,1;0;0;0;0;0;0;399,98;58,92;1;1;4;11;4;83;0
20;-1,98;0,46;1,55;0,2;0;18,91;18,91;19,1;0;0;0;0;0;0;399,98;58,91;1;1;4;12;4;84;0
20;-1,98;0,46;1,54;0,2;0;18,91;18,91;19,1;0,03;0;0;0;0;0,03;399,98;58,89;1;1;4;13;4;85;0
20;-1,98;0,46;1,54;0,2;0;18,92;18,92;19,1;0;0;0;0;0;0;399,98;58,88;1;1;4;14;4;86;0
20;-1,98;0,46;1,53;0,2;0;18,92;18,92;19,1;0;0;0;0;0;0;399,98;58,87;1;1;4;15;4;87;0
20;-1,98;0,46;1,53;0,2;0;18,93;18,93;19,1;0;0;0;0;0;0;399,98;58,85;1;1;4;16;4;88;0
20;-1,98;0,46;1,52;0,19;0;18,93;18,93;19,1;0;0;0;0;0;0;399,98;58,84;1;1;4;17;4;89;0
20;-1,98;0,46;1,51;0,19;0;18,93;18,93;19,1;0,03;0;0;0;0;0,03;399,98;58,83;1;1;4;18;4;90;0
20;-1,98;0,46;1,51;0,19;0;18,94;18,94;19,1;0,03;0;0;0;0;0,03;399,98;58,81;1;1;4;19;4;91;0
20;-1,98;0,46;1,5;0,19;0;18,94;18,94;19,1;0;0;0;0;0;0;399,98;58,8;1;1;4;20;4;92;0
20;-1,98;0,46;1,5;0,19;0;18,94;18,94;19,1;0;0;0;0;0;0;399,98;58,79;1;1;4;21;4;93;0
20;-1,98;0,46;1,49;0,19;0;18,95;18,95;19,1;0;0;0;0;0;0;399,98;58,78;1;1;4;22;4;94;0
20;-1,98;0,46;1,49;0,19;0;18,95;18,95;19,1;0;0;0;0;0;0;399,98;58,76;1;1;4;23;4;95;0
20;-1,98;0,46;1,48;0,19;0;18,95;18,95;19,1;0;0;0;0;0;0;399,98;58,75;1;1;4;24;4;96;0
20;-1,98;0,46;1,48;0,19;0;18,96;18,96;19,42;0;0;0;0;0;0;399,98;58,74;1;1;5;1;5;97;0
20;-1,98;0,46;1,48;0,19;0;18,96;18,96;19,42;0;0;0;0;0;0;399,98;58,73;1;1;5;2;5;98;0
20;-1,98;0,46;1,47;0,19;0;18,96;18,96;19,42;0;0;0;0;0;0;399,98;58,72;1;1;5;3;5;99;0
20;-1,98;0,46;1,47;0,19;0;18,97;18,97;19,42;0;0;0;0;0;0;399,98;58,71;1;1;5;4;5;100;0
20;-1,98;0,46;1,46;0,19;0;18,97;18,97;19,42;0;0;0;0;0;0;399,98;58,7;1;1;5;5;5;101;0
20;-1,98;0,46;1,46;0,19;0;18,97;18,97;19,42;0,03;0;0;0;0;0,03;399,98;58,69;1;1;5;6;5;102;0
20;-1,98;0,46;1,45;0,19;0;18,98;18,98;19,42;0,03;0;0;0;0;0,03;399,98;58,68;1;1;5;7;5;103;0
20;-1,98;0,46;1,45;0,19;0;18,98;18,98;19,42;0,03;0;0;0;0;0,03;399,98;58,67;1;1;5;8;5;104;0
20;-1,98;0,46;1,45;0,19;0;18,98;18,98;19,42;0;0;0;0;0;0;399,98;58,66;1;1;5;9;5;105;0
20;-1,98;0,46;1,44;0,18;0;18,98;18,98;19,42;0;0;0;0;0;0;399,98;58,65;1;1;5;10;5;106;0
20;-1,98;0,46;1,44;0,18;0;18,99;18,99;19,42;0;0;0;0;0;0;399,98;58,65;1;1;5;11;5;107;0
20;-1,98;0,46;1,44;0,18;0;18,99;18,99;19,42;0;0;0;0;0;0;399,98;58,64;1;1;5;12;5;108;0
20;-1,98;0,46;1,43;0,18;0;18,99;18,99;19,42;0,03;0;0;0;0;0,03;399,98;58,63;1;1;5;13;5;109;0
20;-1,98;0,46;1,43;0,18;0;18,99;18,99;19,42;0;0;0;0;0;0;399,98;58,62;1;1;5;14;5;110;0
20;-1,98;0,46;1,43;0,18;0;19;19;19,42;0;0;0;0;0;0;399,98;58,61;1;1;5;15;5;111;0
20;-1,98;0,46;1,42;0,18;0;19;19;19,42;0;0;0;0;0;0;399,98;58,61;1;1;5;16;5;112;0
20;-1,98;0,46;1,42;0,18;0;19;19;19,42;0;0;0;0;0;0;399,98;58,6;1;1;5;17;5;113;0
20;-1,98;0,46;1,42;0,18;0;19;19;19,42;0,03;0;0;0;0;0,03;399,98;58,59;1;1;5;18;5;114;0
20;-1,98;0,46;1,41;0,18;0;19;19;19,42;0,03;0;0;0;0;0,03;399,98;58,58;1;1;5;19;5;115;0
20;-1,98;0,46;1,41;0,18;0;19,01;19,01;19,42;0;0;0;0;0;0;399,98;58,58;1;1;5;20;5;116;0
20;-1,98;0,46;1,41;0,18;0;19,01;19,01;19,42;0;0;0;0;0;0;399,98;58,57;1;1;5;21;5;117;0
20;-1,98;0,46;1,41;0,18;0;19,01;19,01;19,42;0;0;0;0;0;0;399,98;58,56;1;1;5;22;5;118;0
20;-1,98;0,46;1,4;0,18;0;19,01;19,01;19,42;0;0;0;0;0;0;399,98;58,56;1;1;5;23;5;119;0
20;-1,98;0,46;1,4;0,18;0;19,01;19,01;19,42;0;0;0;0;0;0;399,98;58,55;1;1;5;24;5;120;0
20;-1,98;0,46;1,4;0,18;0;19,02;19,02;19,68;0;0;0;0;0;0;399,98;58,55;2;1;6;1;6;121;0
20;-1,98;0,46;1,39;0,18;0;19,02;19,02;19,68;0;0;0;0;0;0;399,98;58,54;2;1;6;2;6;122;0
20;-1,98;0,46;1,39;0,18;0;19,02;19,02;19,68;0;0;0;0;0;0;399,98;58,53;2;1;6;3;6;123;0
20;-1,98;0,46;1,39;0,18;0;19,02;19,02;19,68;0;0;0;0;0;0;399,98;58,53;2;1;6;4;6;124;0
20;-1,98;0,46;1,39;0,18;0;19,02;19,02;19,68;0;0;0;0;0;0;399,98;58,52;2;1;6;5;6;125;0
20;-1,98;0,46;1,39;0,18;0;19,02;19,02;19,68;0,03;0;0;0;0;0,03;399,98;58,52;2;1;6;6;6;126;0
