time,br_temp,br_humi,ma_temp,ma_humi,meter0_power_L123,meter2_power_L123,meter2_power_L123
2022-06-04 02:38:00+02:00,22.2157,46.97,22.5929,47.0321,104.205,0.0,0.0
2022-06-04 02:39:00+02:00,22.2049,46.97,22.5913,46.9222,104.55,0.0,0.0
2022-06-04 02:40:00+02:00,22.2089,46.97,22.5852,46.968,103.552,0.0,0.0
2022-06-04 02:41:00+02:00,22.2076,46.97,22.5867,47.1236,37.3864,0.0,0.0
2022-06-04 02:42:00+02:00,22.2089,47.03,22.5867,47.0168,38.6778,0.0,0.0
2022-06-04 02:43:00+02:00,22.2008,47.02,22.5791,47.0168,36.5988,0.0,0.0
2022-06-04 02:44:00+02:00,22.194,46.97,22.5791,46.9253,38.3202,0.0,0.0
2022-06-04 02:45:00+02:00,22.2008,46.97,22.5761,46.8368,38.4095,0.0,0.0
2022-06-04 02:46:00+02:00,22.1981,46.97,22.5745,46.8062,34.9216,0.0,0.0
2022-06-04 02:47:00+02:00,22.1927,46.97,22.5745,46.8062,30.5045,0.0,0.0
2022-06-04 02:48:00+02:00,22.1954,46.98,22.573,46.9131,37.1622,0.0,0.0
2022-06-04 02:49:00+02:00,22.194,46.97,22.57,46.9131,37.999,0.0,0.0
2022-06-04 02:50:00+02:00,22.1954,46.97,22.5654,46.9405,30.2226,0.0,0.0
2022-06-04 02:51:00+02:00,22.1873,46.97,22.5623,46.9131,30.5048,0.0,0.0
2022-06-04 02:52:00+02:00,22.1886,46.97,22.5608,47.0199,30.4048,0.0,0.0
2022-06-04 02:53:00+02:00,22.1805,46.97,22.5562,46.8978,37.1835,0.0,0.0
2022-06-04 02:54:00+02:00,22.1832,46.97,22.5547,47.0199,35.9163,0.0,0.0
2022-06-04 02:55:00+02:00,22.1791,46.97,22.5562,46.9588,33.4616,0.0,0.0
2022-06-04 02:56:00+02:00,22.1873,46.97,22.5532,46.91,33.6763,0.0,0.0
2022-06-04 02:57:00+02:00,22.1697,46.97,22.5517,46.6994,36.1723,0.0,0.0
2022-06-04 02:58:00+02:00,22.171,47.0,22.5547,46.8398,32.8789,0.0,0.0
2022-06-04 02:59:00+02:00,22.1697,47.01,22.5471,46.91,36.6311,0.0,0.0
2022-06-04 03:00:00+02:00,22.1656,46.98,22.5486,46.9131,35.3026,0.0,0.0
2022-06-04 03:01:00+02:00,22.1643,47.0,22.5486,46.9131,36.3881,0.0,0.0
2022-06-04 03:02:00+02:00,22.1683,46.97,22.544,47.0168,29.4052,0.0,0.0
2022-06-04 03:03:00+02:00,22.1616,46.98,22.5364,46.9741,36.1979,0.0,0.0
2022-06-04 03:04:00+02:00,22.1656,47.0,22.5349,46.9283,36.6645,0.0,0.0
2022-06-04 03:05:00+02:00,22.1588,47.06,22.5318,46.9588,30.3749,0.0,0.0
2022-06-04 03:06:00+02:00,22.148,47.03,22.5333,47.1358,33.9806,0.0,0.0
2022-06-04 03:07:00+02:00,22.1494,46.97,22.5303,46.9802,36.2837,0.0,0.0
2022-06-04 03:08:00+02:00,22.148,47.01,22.5257,46.9436,36.6367,0.0,0.0
2022-06-04 03:09:00+02:00,22.144,47.03,22.5257,47.0962,32.6409,0.0,0.0
2022-06-04 03:10:00+02:00,22.148,47.05,22.5227,47.0779,37.0826,0.0,0.0
2022-06-04 03:11:00+02:00,22.1399,47.04,22.5181,47.1145,32.2999,0.0,0.0
2022-06-04 03:12:00+02:00,22.1385,47.02,22.5181,46.9466,34.6578,0.0,0.0
2022-06-04 03:13:00+02:00,22.1399,47.02,22.5135,47.0077,36.2913,0.0,0.0
2022-06-04 03:14:00+02:00,22.1385,47.0,22.5105,47.1236,35.4058,0.0,0.0
